number,liczby_nut,liczby_parti,dlugosci_utworow,metrum,liczby_uzytych_metrum,liczby_uzytych_tonacji,najwyzsze_dzwieki,najnizsze_dzwieki,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
683,1027,5,584.0,4/2,1,1,77,46,0.8611588283222905,19,101
684,666,4,416.0,4/2,1,1,79,55,0.8902544987016302,15,62
685,808,5,440.0,4/2,1,1,77,46,0.8841231820960136,19,75
686,1261,6,588.0,4/2,1,1,79,46,0.908988370570492,20,169
687,626,4,400.0,4/2,1,1,79,53,0.8931852566373287,16,61
688,837,6,400.0,4/2,1,1,77,46,0.8959738840532248,19,107
689,1255,5,728.0,4/2,1,1,77,46,0.8714206303561682,19,149
690,636,4,424.0,4/2,1,1,79,53,0.903416224304374,16,66
691,326,5,168.0,4/2,1,1,77,48,0.8332579536432431,18,33
692,288,5,138.0,3/2,1,1,77,46,0.8985954135720388,19,30
693,614,5,320.0,4/2,1,1,77,48,0.9135833256289742,18,62
694,930,5,544.0,4/2,1,1,79,48,0.9029457328647126,19,102
695,151,4,104.0,4/2,1,1,72,48,0.9346676170357066,15,9
696,256,4,150.0,3/2,1,1,72,48,0.9092233649926597,15,32
697,917,5,528.0,4/2,1,1,79,48,0.9222988444916733,19,98
698,1103,5,656.0,4/2,1,1,74,41,0.9096447998965922,20,116
699,250,4,168.0,4/2,1,1,72,48,0.8834534124679666,15,18
700,133,4,78.0,3/2,1,1,72,50,0.903130196152764,14,13
701,418,4,256.0,4/2,1,1,74,50,0.8757200969073285,15,34
702,405,5,200.0,4/2,1,1,74,45,0.9290134582406202,18,43
703,187,5,84.0,3/2,1,1,72,45,0.8779362515592358,17,23
704,538,5,288.0,4/2,1,1,74,43,0.9168718991020902,19,51
705,875,4,628.0,4/2,1,1,77,46,0.8735525294682799,19,117
706,674,3,556.0,4/2,1,1,72,46,0.8662468293717677,16,60
707,1016,4,636.0,4/2,1,1,77,46,0.9007572494764131,19,101
708,859,4,548.0,4/2,1,1,79,48,0.8801966635731032,19,61
709,310,3,256.0,4/2,1,1,77,55,0.9382316835229635,14,23
710,965,4,600.0,4/2,1,1,79,48,0.9114195896128789,19,70
711,1155,5,648.0,4/2,1,1,77,46,0.9226405606352588,19,124
712,670,4,416.0,4/2,1,1,77,52,0.9547550615735743,16,75
713,302,5,144.0,3/2,1,1,77,46,0.8790028072082412,19,36
714,615,5,320.0,4/2,1,1,77,45,0.9016311908053365,20,60
715,1227,5,688.0,4/2,1,1,79,46,0.9048906244116788,20,133
716,607,4,392.0,4/2,1,1,79,50,0.9382155541457616,18,53
717,880,5,472.0,4/2,1,1,77,48,0.9190176007484397,18,67
718,1132,6,624.0,4/2,1,1,76,43,0.8602569741384943,20,141
719,815,4,496.0,4/2,1,1,76,48,0.910634276365063,17,65
720,327,6,144.0,3/2,1,1,74,43,0.8568824450058999,19,86
721,302,6,168.0,4/2,1,1,74,43,0.844010095115583,19,47
722,127,6,54.0,3/2,1,1,76,43,0.823829188503567,20,24
723,129,6,96.0,4/2,1,1,74,43,0.8219656875149726,19,3
724,913,5,560.0,4/2,1,1,79,46,0.9170193719387719,20,89
725,618,4,408.0,4/2,1,1,79,53,0.940709195463552,16,63
726,798,5,440.0,4/2,1,1,79,46,0.8968158075019611,20,62
727,1061,4,696.0,4/2,1,1,77,48,0.9331007267357455,18,101
728,632,4,424.0,4/2,1,1,77,53,0.8319720110148553,15,74
729,800,4,512.0,4/2,1,1,77,48,0.8779974938095217,18,72
730,1122,6,584.0,4/2,1,1,79,48,0.9317973907257215,19,174
731,440,4,336.0,4/2,1,1,77,48,0.9217928868145022,18,54
732,1348,6,656.0,4/2,1,1,79,48,0.9515625647749131,19,125
733,970,4,624.0,4/2,1,1,79,49,0.9367117217241764,19,86
734,478,3,360.0,4/2,1,1,77,55,0.8845857077695335,14,38
735,902,4,616.0,4/2,1,1,77,48,0.9315766956280942,18,99
736,971,6,452.0,4/2,1,1,74,41,0.8326476302548733,20,124
737,619,6,328.0,4/2,1,1,74,43,0.8766261995580081,19,53
738,820,4,552.0,4/2,1,1,76,48,0.8775491582888404,17,92
739,954,6,472.0,4/2,1,1,74,41,0.9076972558479831,20,128
740,128,6,48.0,3/2,1,1,74,43,0.8884489012717142,19,24
741,195,6,88.0,4/2,1,1,76,43,0.7988102407687074,20,7
742,1523,5,888.0,4/2,1,1,79,48,0.9162055786572323,19,152
743,752,4,528.0,4/2,1,1,79,48,0.905670607194773,19,88
744,1275,5,712.0,4/2,1,1,79,48,0.9026358850436722,19,128
745,2094,5,1216.0,4/2,1,1,79,48,0.8578106565047332,19,284
746,848,4,584.0,4/2,1,1,77,48,0.8660529724773828,18,111
